FOOD NAME,SCIENTIFIC NAME,GROUP,SUB GROUP
Angelica,Angelica keiskei,Animal foods,Herbs
Savoy cabbage,Brassica oleracea var. sabauda,Animal foods,Cabbages
Silver linden,Tilia argentea,Animal foods,Herbs
Kiwi,Actinidia chinensis,Animal foods,Tropical fruits
Allium (Onion),Allium,Animal foods,Onion-family vegetables
Garden onion,Allium cepa,Animal foods,Onion-family vegetables
Leek,Allium porrum,Animal foods,Onion-family vegetables
Garlic,Allium sativum,Animal foods,Herbs
Chives,Allium schoenoprasum,Animal foods,Herbs
Lemon verbena,Aloysia triphylla,Animal foods,Herbs
Cashew nut,Anacardium occidentale,Animal foods,Nuts
Pineapple,Ananas comosus,Animal foods,Tropical fruits
Dill,Anethum graveolens,Animal foods,Herbs
Custard apple,Annona reticulata,Animal foods,Tropical fruits
Wild celery,Apium graveolens,Animal foods,Spices
Peanut,Arachis hypogaea,Animal foods,Nuts
Burdock,Arctium lappa,Animal foods,Root vegetables
Horseradish,Armoracia rusticana,Animal foods,Spices
Tarragon,Artemisia dracunculus,Animal foods,Herbs
Mugwort,Artemisia vulgaris,Animal foods,Herbs
Asparagus,Asparagus officinalis,Animal foods,Shoot vegetables
Oat,Avena sativa,Animal foods,Cereals
Star fruit,Averrhoa carambola,Animal foods,Tropical fruits
Brazil nut,Bertholletia excelsa,Animal foods,Nuts
Common beet,Beta vulgaris,Animal foods,Leaf vegetables
Borage,Borago officinalis,Animal foods,Oilseed crops
Chinese mustard,Brassica juncea,Animal foods,Cabbages
Swede,Brassica napus,Animal foods,Root vegetables
Rape,Brassica napus var. napus,Animal foods,Root vegetables
Common cabbage,Brassica oleracea,Animal foods,Cabbages
Cauliflower,Brassica oleracea var. botrytis,Animal foods,Cabbages
Brussel sprouts,Brassica oleracea var. gemmifera,Animal foods,Cabbages
Kohlrabi,Brassica oleracea var. gongylodes,Animal foods,Root vegetables
Broccoli,Brassica oleracea var. italica,Animal foods,Cabbages
Chinese cabbage,Brassica rapa,Animal foods,Cabbages
Turnip,Brassica rapa var. rapa,Animal foods,Herbs
Pigeon pea,Cajanus cajan,Animal foods,Peas
Tea,Camellia sinensis,Animal foods,Teas
Capers,Capparis spinosa,Animal foods,Spices
